x y_real y_hermite сетка функция
-2 0.0183156 0.0183156 uniform exp(-x^2)
-2 0.0183156 0.0183157 chebyshev exp(-x^2)
-2 2 2 uniform |x|
-2 2 1.9819 chebyshev |x|
-1.9596 0.0214933 0.0214938 uniform exp(-x^2)
-1.9596 0.0214933 0.0214933 chebyshev exp(-x^2)
-1.9596 1.9596 -0.141696 uniform |x|
-1.9596 1.9596 1.95293 chebyshev |x|
-1.91919 0.0251399 0.0251412 uniform exp(-x^2)
-1.91919 0.0251399 0.0251399 chebyshev exp(-x^2)
-1.91919 1.91919 -2.67222 uniform |x|
-1.91919 1.91919 1.90026 chebyshev |x|
-1.87879 0.0293095 0.0293109 uniform exp(-x^2)
-1.87879 0.0293095 0.0293095 chebyshev exp(-x^2)
-1.87879 1.87879 -3.51863 uniform |x|
-1.87879 1.87879 1.8676 chebyshev |x|
-1.83838 0.0340592 0.0340604 uniform exp(-x^2)
-1.83838 0.0340592 0.0340592 chebyshev exp(-x^2)
-1.83838 1.83838 -2.90282 uniform |x|
-1.83838 1.83838 1.83707 chebyshev |x|
-1.79798 0.0394496 0.0394504 uniform exp(-x^2)
-1.79798 0.0394496 0.0394496 chebyshev exp(-x^2)
-1.79798 1.79798 -1.60499 uniform |x|
-1.79798 1.79798 1.79649 chebyshev |x|
-1.75758 0.0455442 0.0455447 uniform exp(-x^2)
-1.75758 0.0455442 0.0455442 chebyshev exp(-x^2)
-1.75758 1.75758 -0.276635 uniform |x|
-1.75758 1.75758 1.74769 chebyshev |x|
-1.71717 0.0524089 0.0524091 uniform exp(-x^2)
-1.71717 0.0524089 0.0524089 chebyshev exp(-x^2)
-1.71717 1.71717 0.731847 uniform |x|
-1.71717 1.71717 1.69848 chebyshev |x|
-1.67677 0.0601118 0.0601118 uniform exp(-x^2)
-1.67677 0.0601118 0.0601118 chebyshev exp(-x^2)
-1.67677 1.67677 1.32833 uniform |x|
-1.67677 1.67677 1.65491 chebyshev |x|
-1.63636 0.068722 0.068722 uniform exp(-x^2)
-1.63636 0.068722 0.068722 chebyshev exp(-x^2)
-1.63636 1.63636 1.57537 uniform |x|
-1.63636 1.63636 1.61818 chebyshev |x|
-1.59596 0.0783094 0.0783094 uniform exp(-x^2)
-1.59596 0.0783094 0.0783095 chebyshev exp(-x^2)
-1.59596 1.59596 1.5954 uniform |x|
-1.59596 1.59596 1.58546 chebyshev |x|
-1.55556 0.0889436 0.0889436 uniform exp(-x^2)
-1.55556 0.0889436 0.0889436 chebyshev exp(-x^2)
-1.55556 1.55556 1.50798 uniform |x|
-1.55556 1.55556 1.55232 chebyshev |x|
-1.51515 0.100692 0.100693 uniform exp(-x^2)
-1.51515 0.100692 0.100692 chebyshev exp(-x^2)
-1.51515 1.51515 1.39936 uniform |x|
-1.51515 1.51515 1.51513 chebyshev |x|
-1.47475 0.113622 0.113622 uniform exp(-x^2)
-1.47475 0.113622 0.113622 chebyshev exp(-x^2)
-1.47475 1.47475 1.31583 uniform |x|
-1.47475 1.47475 1.47249 chebyshev |x|
-1.43434 0.127793 0.127793 uniform exp(-x^2)
-1.43434 0.127793 0.127793 chebyshev exp(-x^2)
-1.43434 1.43434 1.27083 uniform |x|
-1.43434 1.43434 1.42536 chebyshev |x|
-1.39394 0.143264 0.143264 uniform exp(-x^2)
-1.39394 0.143264 0.143264 chebyshev exp(-x^2)
-1.39394 1.39394 1.2572 uniform |x|
-1.39394 1.39394 1.37635 chebyshev |x|
-1.35354 0.160084 0.160084 uniform exp(-x^2)
-1.35354 0.160084 0.160084 chebyshev exp(-x^2)
-1.35354 1.35354 1.25911 uniform |x|
-1.35354 1.35354 1.32855 chebyshev |x|
-1.31313 0.178295 0.178295 uniform exp(-x^2)
-1.31313 0.178295 0.178295 chebyshev exp(-x^2)
-1.31313 1.31313 1.26097 uniform |x|
-1.31313 1.31313 1.2844 chebyshev |x|
-1.27273 0.197931 0.197931 uniform exp(-x^2)
-1.27273 0.197931 0.197931 chebyshev exp(-x^2)
-1.27273 1.27273 1.25221 uniform |x|
-1.27273 1.27273 1.24502 chebyshev |x|
-1.23232 0.219014 0.219014 uniform exp(-x^2)
-1.23232 0.219014 0.219014 chebyshev exp(-x^2)
-1.23232 1.23232 1.22869 uniform |x|
-1.23232 1.23232 1.20993 chebyshev |x|
-1.19192 0.241552 0.241552 uniform exp(-x^2)
-1.19192 0.241552 0.241552 chebyshev exp(-x^2)
-1.19192 1.19192 1.19173 uniform |x|
-1.19192 1.19192 1.17736 chebyshev |x|
-1.15152 0.265541 0.265541 uniform exp(-x^2)
-1.15152 0.265541 0.265541 chebyshev exp(-x^2)
-1.15152 1.15152 1.14593 uniform |x|
-1.15152 1.15152 1.1448 chebyshev |x|
-1.11111 0.29096 0.29096 uniform exp(-x^2)
-1.11111 0.29096 0.29096 chebyshev exp(-x^2)
-1.11111 1.11111 1.09687 uniform |x|
-1.11111 1.11111 1.10979 chebyshev |x|
-1.07071 0.317774 0.317774 uniform exp(-x^2)
-1.07071 0.317774 0.317774 chebyshev exp(-x^2)
-1.07071 1.07071 1.04922 uniform |x|
-1.07071 1.07071 1.07054 chebyshev |x|
-1.0303 0.345928 0.345928 uniform exp(-x^2)
-1.0303 0.345928 0.345928 chebyshev exp(-x^2)
-1.0303 1.0303 1.00573 uniform |x|
-1.0303 1.0303 1.02633 chebyshev |x|
-0.989899 0.375349 0.375349 uniform exp(-x^2)
-0.989899 0.375349 0.375349 chebyshev exp(-x^2)
-0.989899 0.989899 0.967021 uniform |x|
-0.989899 0.989899 0.977749 chebyshev |x|
-0.949495 0.405944 0.405944 uniform exp(-x^2)
-0.949495 0.405944 0.405944 chebyshev exp(-x^2)
-0.949495 0.949495 0.931948 uniform |x|
-0.949495 0.949495 0.926436 chebyshev |x|
-0.909091 0.437602 0.437602 uniform exp(-x^2)
-0.909091 0.437602 0.437602 chebyshev exp(-x^2)
-0.909091 0.909091 0.898406 uniform |x|
-0.909091 0.909091 0.874742 chebyshev |x|
-0.868687 0.470191 0.470191 uniform exp(-x^2)
-0.868687 0.470191 0.470191 chebyshev exp(-x^2)
-0.868687 0.868687 0.864153 uniform |x|
-0.868687 0.868687 0.825166 chebyshev |x|
-0.828283 0.50356 0.50356 uniform exp(-x^2)
-0.828283 0.50356 0.50356 chebyshev exp(-x^2)
-0.828283 0.828283 0.827507 uniform |x|
-0.828283 0.828283 0.779799 chebyshev |x|
-0.787879 0.53754 0.53754 uniform exp(-x^2)
-0.787879 0.53754 0.53754 chebyshev exp(-x^2)
-0.787879 0.787879 0.787743 uniform |x|
-0.787879 0.787879 0.739852 chebyshev |x|
-0.747475 0.571942 0.571942 uniform exp(-x^2)
-0.747475 0.571942 0.571942 chebyshev exp(-x^2)
-0.747475 0.747475 0.745165 uniform |x|
-0.747475 0.747475 0.705368 chebyshev |x|
-0.707071 0.606562 0.606562 uniform exp(-x^2)
-0.707071 0.606562 0.606562 chebyshev exp(-x^2)
-0.707071 0.707071 0.700891 uniform |x|
-0.707071 0.707071 0.675158 chebyshev |x|
-0.666667 0.64118 0.64118 uniform exp(-x^2)
-0.666667 0.64118 0.64118 chebyshev exp(-x^2)
-0.666667 0.666667 0.65644 uniform |x|
-0.666667 0.666667 0.646969 chebyshev |x|
-0.626263 0.675566 0.675566 uniform exp(-x^2)
-0.626263 0.675566 0.675566 chebyshev exp(-x^2)
-0.626263 0.626263 0.613262 uniform |x|
-0.626263 0.626263 0.617852 chebyshev |x|
-0.585859 0.709475 0.709475 uniform exp(-x^2)
-0.585859 0.709475 0.709475 chebyshev exp(-x^2)
-0.585859 0.585859 0.572318 uniform |x|
-0.585859 0.585859 0.584664 chebyshev |x|
-0.545455 0.742657 0.742657 uniform exp(-x^2)
-0.545455 0.742657 0.742657 chebyshev exp(-x^2)
-0.545455 0.545455 0.533812 uniform |x|
-0.545455 0.545455 0.544618 chebyshev |x|
-0.505051 0.774858 0.774858 uniform exp(-x^2)
-0.505051 0.774858 0.774858 chebyshev exp(-x^2)
-0.505051 0.505051 0.497125 uniform |x|
-0.505051 0.505051 0.495787 chebyshev |x|
-0.464646 0.805819 0.805819 uniform exp(-x^2)
-0.464646 0.805819 0.805819 chebyshev exp(-x^2)
-0.464646 0.464646 0.460957 uniform |x|
-0.464646 0.464646 0.437498 chebyshev |x|
-0.424242 0.835286 0.835286 uniform exp(-x^2)
-0.424242 0.835286 0.835286 chebyshev exp(-x^2)
-0.424242 0.424242 0.423637 uniform |x|
-0.424242 0.424242 0.370537 chebyshev |x|
-0.383838 0.863007 0.863007 uniform exp(-x^2)
-0.383838 0.863007 0.863008 chebyshev exp(-x^2)
-0.383838 0.383838 0.383538 uniform |x|
-0.383838 0.383838 0.297158 chebyshev |x|
-0.343434 0.888743 0.888743 uniform exp(-x^2)
-0.343434 0.888743 0.888743 chebyshev exp(-x^2)
-0.343434 0.343434 0.339508 uniform |x|
-0.343434 0.343434 0.220873 chebyshev |x|
-0.30303 0.912263 0.912263 uniform exp(-x^2)
-0.30303 0.912263 0.912263 chebyshev exp(-x^2)
-0.30303 0.30303 0.291228 uniform |x|
-0.30303 0.30303 0.146069 chebyshev |x|
-0.262626 0.933352 0.933352 uniform exp(-x^2)
-0.262626 0.933352 0.933352 chebyshev exp(-x^2)
-0.262626 0.262626 0.23943 uniform |x|
-0.262626 0.262626 0.0775014 chebyshev |x|
-0.222222 0.951817 0.951817 uniform exp(-x^2)
-0.222222 0.951817 0.951817 chebyshev exp(-x^2)
-0.222222 0.222222 0.185943 uniform |x|
-0.222222 0.222222 0.0197344 chebyshev |x|
-0.181818 0.967483 0.967483 uniform exp(-x^2)
-0.181818 0.967483 0.967483 chebyshev exp(-x^2)
-0.181818 0.181818 0.133533 uniform |x|
-0.181818 0.181818 -0.0233956 chebyshev |x|
-0.141414 0.980201 0.980201 uniform exp(-x^2)
-0.141414 0.980201 0.980201 chebyshev exp(-x^2)
-0.141414 0.141414 0.0855796 uniform |x|
-0.141414 0.141414 -0.0492246 chebyshev |x|
-0.10101 0.989849 0.989849 uniform exp(-x^2)
-0.10101 0.989849 0.989849 chebyshev exp(-x^2)
-0.10101 0.10101 0.0456329 uniform |x|
-0.10101 0.10101 -0.056554 chebyshev |x|
-0.0606061 0.996334 0.996334 uniform exp(-x^2)
-0.0606061 0.996334 0.996334 chebyshev exp(-x^2)
-0.0606061 0.0606061 0.0169246 uniform |x|
-0.0606061 0.0606061 -0.0457591 chebyshev |x|
-0.020202 0.999592 0.999592 uniform exp(-x^2)
-0.020202 0.999592 0.999592 chebyshev exp(-x^2)
-0.020202 0.020202 0.00190894 uniform |x|
-0.020202 0.020202 -0.0187016 chebyshev |x|
0.020202 0.999592 0.999592 uniform exp(-x^2)
0.020202 0.999592 0.999592 chebyshev exp(-x^2)
0.020202 0.020202 0.00190894 uniform |x|
0.020202 0.020202 0.0215371 chebyshev |x|
0.0606061 0.996334 0.996334 uniform exp(-x^2)
0.0606061 0.996334 0.996334 chebyshev exp(-x^2)
0.0606061 0.0606061 0.0169246 uniform |x|
0.0606061 0.0606061 0.0710619 chebyshev |x|
0.10101 0.989849 0.989849 uniform exp(-x^2)
0.10101 0.989849 0.989849 chebyshev exp(-x^2)
0.10101 0.10101 0.0456329 uniform |x|
0.10101 0.10101 0.125654 chebyshev |x|
0.141414 0.980201 0.980201 uniform exp(-x^2)
0.141414 0.980201 0.980201 chebyshev exp(-x^2)
0.141414 0.141414 0.0855796 uniform |x|
0.141414 0.141414 0.181278 chebyshev |x|
0.181818 0.967483 0.967483 uniform exp(-x^2)
0.181818 0.967483 0.967483 chebyshev exp(-x^2)
0.181818 0.181818 0.133533 uniform |x|
0.181818 0.181818 0.234537 chebyshev |x|
0.222222 0.951817 0.951817 uniform exp(-x^2)
0.222222 0.951817 0.951817 chebyshev exp(-x^2)
0.222222 0.222222 0.185943 uniform |x|
0.222222 0.222222 0.283022 chebyshev |x|
0.262626 0.933352 0.933352 uniform exp(-x^2)
0.262626 0.933352 0.933352 chebyshev exp(-x^2)
0.262626 0.262626 0.23943 uniform |x|
0.262626 0.262626 0.325506 chebyshev |x|
0.30303 0.912263 0.912263 uniform exp(-x^2)
0.30303 0.912263 0.912263 chebyshev exp(-x^2)
0.30303 0.30303 0.291228 uniform |x|
0.30303 0.30303 0.36197 chebyshev |x|
0.343434 0.888743 0.888743 uniform exp(-x^2)
0.343434 0.888743 0.888743 chebyshev exp(-x^2)
0.343434 0.343434 0.339508 uniform |x|
0.343434 0.343434 0.393462 chebyshev |x|
0.383838 0.863007 0.863007 uniform exp(-x^2)
0.383838 0.863007 0.863008 chebyshev exp(-x^2)
0.383838 0.383838 0.383538 uniform |x|
0.383838 0.383838 0.421808 chebyshev |x|
0.424242 0.835286 0.835286 uniform exp(-x^2)
0.424242 0.835286 0.835286 chebyshev exp(-x^2)
0.424242 0.424242 0.423637 uniform |x|
0.424242 0.424242 0.449236 chebyshev |x|
0.464646 0.805819 0.805819 uniform exp(-x^2)
0.464646 0.805819 0.805819 chebyshev exp(-x^2)
0.464646 0.464646 0.460957 uniform |x|
0.464646 0.464646 0.477962 chebyshev |x|
0.505051 0.774858 0.774858 uniform exp(-x^2)
0.505051 0.774858 0.774858 chebyshev exp(-x^2)
0.505051 0.505051 0.497125 uniform |x|
0.505051 0.505051 0.509808 chebyshev |x|
0.545455 0.742657 0.742657 uniform exp(-x^2)
0.545455 0.742657 0.742657 chebyshev exp(-x^2)
0.545455 0.545455 0.533812 uniform |x|
0.545455 0.545455 0.545902 chebyshev |x|
0.585859 0.709475 0.709475 uniform exp(-x^2)
0.585859 0.709475 0.709475 chebyshev exp(-x^2)
0.585859 0.585859 0.572318 uniform |x|
0.585859 0.585859 0.58652 chebyshev |x|
0.626263 0.675566 0.675566 uniform exp(-x^2)
0.626263 0.675566 0.675566 chebyshev exp(-x^2)
0.626263 0.626263 0.613262 uniform |x|
0.626263 0.626263 0.631077 chebyshev |x|
0.666667 0.64118 0.64118 uniform exp(-x^2)
0.666667 0.64118 0.64118 chebyshev exp(-x^2)
0.666667 0.666667 0.65644 uniform |x|
0.666667 0.666667 0.678275 chebyshev |x|
0.707071 0.606562 0.606562 uniform exp(-x^2)
0.707071 0.606562 0.606562 chebyshev exp(-x^2)
0.707071 0.707071 0.700891 uniform |x|
0.707071 0.707071 0.726378 chebyshev |x|
0.747475 0.571942 0.571942 uniform exp(-x^2)
0.747475 0.571942 0.571942 chebyshev exp(-x^2)
0.747475 0.747475 0.745165 uniform |x|
0.747475 0.747475 0.773564 chebyshev |x|
0.787879 0.53754 0.53754 uniform exp(-x^2)
0.787879 0.53754 0.53754 chebyshev exp(-x^2)
0.787879 0.787879 0.787743 uniform |x|
0.787879 0.787879 0.818291 chebyshev |x|
0.828283 0.50356 0.50356 uniform exp(-x^2)
0.828283 0.50356 0.50356 chebyshev exp(-x^2)
0.828283 0.828283 0.827507 uniform |x|
0.828283 0.828283 0.859602 chebyshev |x|
0.868687 0.470191 0.470191 uniform exp(-x^2)
0.868687 0.470191 0.470191 chebyshev exp(-x^2)
0.868687 0.868687 0.864153 uniform |x|
0.868687 0.868687 0.897319 chebyshev |x|
0.909091 0.437602 0.437602 uniform exp(-x^2)
0.909091 0.437602 0.437602 chebyshev exp(-x^2)
0.909091 0.909091 0.898406 uniform |x|
0.909091 0.909091 0.932074 chebyshev |x|
0.949495 0.405944 0.405944 uniform exp(-x^2)
0.949495 0.405944 0.405944 chebyshev exp(-x^2)
0.949495 0.949495 0.931948 uniform |x|
0.949495 0.949495 0.965166 chebyshev |x|
0.989899 0.375349 0.375349 uniform exp(-x^2)
0.989899 0.375349 0.375349 chebyshev exp(-x^2)
0.989899 0.989899 0.967021 uniform |x|
0.989899 0.989899 0.998277 chebyshev |x|
1.0303 0.345928 0.345928 uniform exp(-x^2)
1.0303 0.345928 0.345928 chebyshev exp(-x^2)
1.0303 1.0303 1.00573 uniform |x|
1.0303 1.0303 1.03308 chebyshev |x|
1.07071 0.317774 0.317774 uniform exp(-x^2)
1.07071 0.317774 0.317774 chebyshev exp(-x^2)
1.07071 1.07071 1.04922 uniform |x|
1.07071 1.07071 1.07083 chebyshev |x|
1.11111 0.29096 0.29096 uniform exp(-x^2)
1.11111 0.29096 0.29096 chebyshev exp(-x^2)
1.11111 1.11111 1.09687 uniform |x|
1.11111 1.11111 1.11205 chebyshev |x|
1.15152 0.265541 0.265541 uniform exp(-x^2)
1.15152 0.265541 0.265541 chebyshev exp(-x^2)
1.15152 1.15152 1.14593 uniform |x|
1.15152 1.15152 1.15638 chebyshev |x|
1.19192 0.241552 0.241552 uniform exp(-x^2)
1.19192 0.241552 0.241552 chebyshev exp(-x^2)
1.19192 1.19192 1.19173 uniform |x|
1.19192 1.19192 1.20257 chebyshev |x|
1.23232 0.219014 0.219014 uniform exp(-x^2)
1.23232 0.219014 0.219014 chebyshev exp(-x^2)
1.23232 1.23232 1.22869 uniform |x|
1.23232 1.23232 1.24886 chebyshev |x|
1.27273 0.197931 0.197931 uniform exp(-x^2)
1.27273 0.197931 0.197931 chebyshev exp(-x^2)
1.27273 1.27273 1.25221 uniform |x|
1.27273 1.27273 1.29337 chebyshev |x|
1.31313 0.178295 0.178295 uniform exp(-x^2)
1.31313 0.178295 0.178295 chebyshev exp(-x^2)
1.31313 1.31313 1.26097 uniform |x|
1.31313 1.31313 1.33472 chebyshev |x|
